State,Crop Type,Rainfall,Temperature,Soil Type,Fertilizer Usage,Area,Yield
Andhra Pradesh,Wheat,539.1,31.3,Loamy,99.5,6.93,4.61
West Bengal,Rice,659.3,23.8,Peaty,123.9,5.61,5.94
West Bengal,Cotton,862.7,25.8,Clay,112.5,5.16,4.47
Gujarat,Wheat,858.7,25.8,Clay,154.2,5.58,5.15
Andhra Pradesh,Maize,758.5,34.4,Loamy,257.4,5.97,4.85
Bihar,Rice,855.7,11.8,Peaty,136.8,3.02,3.68
Andhra Pradesh,Pulses,915.3,21.2,Clay,90.6,5.96,4.2
Uttar Pradesh,Wheat,1122.4,26.0,Peaty,68.1,7.42,5.64
Uttar Pradesh,Rice,875.2,20.6,Sandy,107.0,4.09,5.1
Bihar,Rice,999.8,24.7,Peaty,82.4,3.87,5.84
Tamil Nadu,Rice,764.6,25.4,Loamy,138.7,5.45,6.34
Bihar,Cotton,1043.0,22.7,Loamy,138.1,3.2,4.8
Karnataka,Maize,993.9,26.3,Peaty,101.5,1.87,5.56
Punjab,Pulses,1116.5,29.1,Peaty,199.4,6.8,5.19
Tamil Nadu,Rice,1078.4,24.8,Sandy,90.6,3.6,5.81
Uttar Pradesh,Cotton,1047.2,23.7,Loamy,115.2,4.54,4.71
Andhra Pradesh,Sugarcane,875.4,25.2,Peaty,145.6,3.28,7.32
Bihar,Sugarcane,961.2,26.0,Clay,155.7,7.05,7.24
Gujarat,Soybean,1165.9,17.3,Peaty,171.1,6.21,4.79
Karnataka,Rice,737.0,28.3,Peaty,137.1,4.02,6.45
West Bengal,Cotton,742.9,23.7,Peaty,162.0,2.14,3.93
Tamil Nadu,Soybean,945.4,32.3,Silt,93.4,3.81,4.06
Karnataka,Pulses,1003.8,29.0,Silt,,5.64,4.53
West Bengal,Sugarcane,694.0,31.9,Sandy,156.2,4.88,6.0
Maharashtra,Sugarcane,881.3,20.9,Loamy,180.5,4.72,7.04
Punjab,Pulses,876.5,24.1,Clay,53.3,4.92,3.4
Maharashtra,Sugarcane,346.2,19.8,Silt,83.7,6.02,5.36
Bihar,Pulses,,22.5,Peaty,152.9,4.42,5.01
West Bengal,Wheat,860.7,32.3,Sandy,20.0,5.4,3.91
Andhra Pradesh,Maize,859.9,33.4,Silt,139.7,2.53,4.35
Bihar,Wheat,1254.0,20.3,Loamy,162.4,9.61,6.03
Gujarat,Wheat,596.1,23.7,Sandy,96.9,3.93,3.96
Gujarat,Cotton,693.8,25.6,Sandy,102.8,4.91,3.56
Bihar,Rice,247.0,28.9,Peaty,77.0,5.63,5.22
Andhra Pradesh,Maize,779.8,17.2,Clay,99.1,3.68,4.24
Rajasthan,Cotton,801.1,18.0,Clay,100.3,4.52,3.0
West Bengal,Sugarcane,772.5,28.4,Clay,92.7,4.49,6.11
Bihar,Pulses,1176.9,16.3,Loamy,,2.67,4.05
Gujarat,Soybean,1115.2,23.8,Sandy,109.2,5.38,4.12
Punjab,Maize,919.5,26.8,Silt,108.7,1.2,5.26
West Bengal,Maize,807.3,28.1,Peaty,195.0,8.01,6.24
Rajasthan,Soybean,1156.5,25.3,Peaty,104.2,6.09,5.26
Tamil Nadu,Wheat,895.1,24.2,Loamy,133.8,5.78,5.45
Punjab,Cotton,695.4,30.2,Clay,96.9,1.03,3.54
Maharashtra,Maize,470.9,27.4,Clay,96.4,2.91,4.81
Bihar,Rice,789.7,22.8,Clay,,7.28,6.36
Uttar Pradesh,Sugarcane,1088.7,26.2,Peaty,57.1,12.8,8.29
Uttar Pradesh,Maize,1469.1,27.9,Loamy,71.7,6.89,6.81
Andhra Pradesh,Rice,915.4,34.6,Loamy,127.3,6.57,4.85
Tamil Nadu,Sugarcane,708.7,29.9,Peaty,163.0,5.55,6.73
Andhra Pradesh,Rice,603.8,32.1,Peaty,48.5,2.81,5.18
Tamil Nadu,Sugarcane,1038.0,22.9,Clay,98.0,6.49,7.29
Uttar Pradesh,Rice,458.8,23.4,Clay,,2.3,4.73
Bihar,Cotton,1037.6,24.8,Sandy,109.4,2.08,3.11
Maharashtra,Soybean,,25.3,Sandy,163.0,1.95,4.7
Bihar,Rice,1009.1,21.0,Peaty,102.1,6.45,6.09
Punjab,Soybean,845.1,32.3,Sandy,118.1,4.39,3.13
West Bengal,Soybean,1041.2,30.4,Loamy,178.2,4.7,4.58
Andhra Pradesh,Pulses,942.7,24.5,Sandy,138.3,4.47,3.84
Karnataka,Rice,705.5,29.2,Sandy,89.6,2.25,4.66
West Bengal,Soybean,1362.6,27.1,Sandy,126.4,3.16,4.57
Karnataka,Pulses,812.1,29.6,Sandy,86.9,3.26,2.85
Bihar,Soybean,1093.9,19.3,Peaty,,1.69,3.93
Maharashtra,Rice,295.3,25.3,Peaty,140.6,3.49,6.19
Punjab,Soybean,1219.1,25.7,Clay,65.3,2.34,4.83
Rajasthan,Wheat,1267.2,29.1,Clay,127.0,5.66,5.27
Karnataka,Sugarcane,907.5,22.9,Silt,115.3,5.82,6.72
West Bengal,Cotton,1039.7,13.5,Sandy,141.8,1.91,2.94
Punjab,Cotton,1039.6,20.6,Sandy,153.3,3.91,3.98
Gujarat,Cotton,739.3,25.7,Loamy,139.1,8.21,5.19
West Bengal,Wheat,1036.8,26.3,Clay,107.9,2.54,4.84
West Bengal,Cotton,697.8,34.4,Silt,157.3,5.35,3.33
Maharashtra,Pulses,747.8,28.9,Peaty,85.1,4.71,4.16
Andhra Pradesh,Cotton,1181.7,26.4,Silt,67.2,6.69,4.31
Punjab,Rice,,25.8,Clay,20.0,5.09,5.91
Punjab,Pulses,723.4,,Loamy,117.2,3.64,3.6
Bihar,Wheat,716.6,23.0,Loamy,87.1,4.63,5.35
Rajasthan,Cotton,738.6,25.3,Clay,135.9,4.66,3.79
Uttar Pradesh,Cotton,1083.2,20.6,Sandy,41.2,4.32,3.78
Bihar,Cotton,650.0,33.1,Peaty,,1.86,3.49
Tamil Nadu,Pulses,989.2,28.0,Peaty,138.8,6.99,4.47
Bihar,Maize,1086.7,,Loamy,78.8,6.63,6.17
Tamil Nadu,Pulses,877.9,25.4,Silt,136.4,2.41,3.74
Maharashtra,Wheat,1152.5,28.5,Clay,97.7,3.9,4.91
Andhra Pradesh,Soybean,,24.7,Loamy,118.7,4.05,5.14
West Bengal,Sugarcane,846.5,23.3,Sandy,143.8,2.19,6.4
Bihar,Rice,655.7,22.7,Loamy,158.1,0.77,5.56
Punjab,Rice,1154.3,27.7,Clay,123.7,3.16,5.87
Bihar,Soybean,708.4,24.2,Sandy,87.4,3.79,3.9
West Bengal,Sugarcane,987.4,23.7,Clay,101.7,1.62,6.5
Tamil Nadu,Sugarcane,882.2,19.3,Sandy,145.5,4.85,6.71
Uttar Pradesh,Wheat,636.8,26.4,Sandy,79.1,6.83,4.6
Maharashtra,Sugarcane,747.7,25.1,Silt,112.9,6.18,6.84
Maharashtra,Pulses,1245.7,24.4,Loamy,104.6,4.25,4.36
Rajasthan,Wheat,950.4,27.0,Loamy,115.9,0.82,5.3
Tamil Nadu,Cotton,647.7,29.7,Sandy,79.6,5.93,3.22
Uttar Pradesh,Cotton,976.3,29.5,Clay,45.9,4.79,3.81
Andhra Pradesh,Pulses,863.5,28.8,Silt,140.8,5.35,4.24
Rajasthan,Rice,1763.5,24.8,Loamy,158.6,8.37,7.52
Bihar,Cotton,971.3,23.2,Sandy,48.3,2.85,2.68
Gujarat,Soybean,804.8,20.8,Peaty,134.8,0.5,4.19
Uttar Pradesh,Wheat,1255.0,23.0,Loamy,163.3,2.39,5.62
Gujarat,Soybean,439.7,26.1,Clay,,5.47,4.34
Tamil Nadu,Soybean,923.6,22.1,Peaty,103.3,4.55,4.91
Maharashtra,Soybean,1398.6,26.5,Sandy,82.3,2.07,3.71
Gujarat,Sugarcane,871.0,21.2,Loamy,123.2,1.66,5.82
Karnataka,Soybean,466.7,17.7,Clay,129.9,3.79,3.47
Punjab,Soybean,801.0,30.1,Silt,123.8,2.01,4.18
Tamil Nadu,Pulses,,23.6,Peaty,112.8,5.54,3.57
Rajasthan,Maize,994.0,21.8,Clay,76.7,3.68,5.07
West Bengal,Cotton,690.3,20.5,Sandy,136.9,3.25,2.72
Uttar Pradesh,Sugarcane,728.7,28.1,Silt,138.8,2.98,6.42
Tamil Nadu,Rice,760.1,32.9,Loamy,128.0,5.03,6.35
Rajasthan,Soybean,990.3,24.0,Clay,124.4,4.59,4.75
Gujarat,Soybean,1234.5,24.9,Silt,187.2,4.9,5.01
Maharashtra,Sugarcane,1163.1,,Loamy,95.0,4.86,7.34
Bihar,Maize,1014.0,16.9,Silt,171.3,4.36,4.96
Karnataka,Maize,567.1,35.8,Sandy,90.6,2.43,3.28
West Bengal,Cotton,568.0,38.2,Peaty,164.4,3.04,2.79
Maharashtra,Sugarcane,1033.3,12.5,Loamy,169.3,3.71,5.96
Bihar,Soybean,563.6,25.5,Peaty,108.3,8.63,5.02
Rajasthan,Sugarcane,843.6,,Clay,186.4,1.8,6.61
West Bengal,Pulses,976.0,24.7,Loamy,138.8,3.66,4.35
Uttar Pradesh,Pulses,615.6,23.9,Silt,84.9,4.7,4.07
Gujarat,Sugarcane,643.9,30.1,Sandy,105.0,3.89,5.79
Maharashtra,Maize,876.5,25.4,Peaty,165.3,6.65,6.37
Punjab,Sugarcane,1025.9,21.4,Loamy,156.9,3.88,6.86
Gujarat,Maize,,25.1,Loamy,77.7,4.03,6.45
Gujarat,Sugarcane,1051.8,28.6,Sandy,114.4,6.13,6.72
Gujarat,Soybean,918.4,20.1,Peaty,128.1,8.12,4.64
West Bengal,Maize,713.5,17.8,,99.7,7.31,4.71
Tamil Nadu,Cotton,,36.0,Silt,214.3,4.23,2.69
Uttar Pradesh,Wheat,772.3,22.8,Peaty,129.3,4.4,5.21
Uttar Pradesh,Soybean,1002.5,25.3,Peaty,117.5,4.59,4.87
West Bengal,Cotton,984.2,24.0,Sandy,167.6,4.79,3.95
Bihar,Cotton,375.0,28.7,Silt,105.4,2.81,3.83
Uttar Pradesh,Cotton,703.6,34.9,Sandy,160.3,6.37,3.09
Andhra Pradesh,Rice,1201.1,28.9,Silt,53.3,4.91,5.53
Maharashtra,Sugarcane,919.8,18.4,Sandy,101.9,4.41,5.62
Punjab,Soybean,545.7,19.1,Sandy,162.0,1.96,3.52
Karnataka,Maize,1489.0,24.0,Sandy,182.8,4.62,5.74
Bihar,Wheat,892.8,24.7,Silt,89.1,0.71,4.32
Bihar,Maize,996.1,17.4,Silt,84.4,3.34,5.34
Uttar Pradesh,Rice,999.9,30.1,Peaty,142.7,3.37,6.3
Karnataka,Maize,808.1,20.6,Silt,95.1,5.07,4.96
Karnataka,Sugarcane,718.1,33.5,Loamy,109.3,8.26,6.36
West Bengal,Wheat,1430.4,35.1,Sandy,155.1,5.64,4.13
Bihar,Soybean,1150.8,24.8,,98.2,7.4,5.0
West Bengal,Rice,1105.5,28.2,Loamy,41.4,5.79,6.74
West Bengal,Pulses,1044.1,19.8,Loamy,68.0,6.75,4.69
Punjab,Soybean,649.2,29.1,Sandy,120.4,8.21,4.13
Bihar,Rice,1219.4,23.5,Peaty,45.5,3.04,6.41
Bihar,Cotton,689.2,20.6,Sandy,108.1,2.91,3.61
Gujarat,Wheat,970.8,24.6,Sandy,64.3,5.84,4.7
Punjab,Wheat,490.2,23.7,Loamy,185.6,4.49,5.32
Bihar,Pulses,389.8,24.4,Silt,206.6,4.94,3.97
Maharashtra,Soybean,979.6,30.7,Loamy,77.7,4.0,4.83
Bihar,Rice,697.7,22.1,Peaty,130.3,3.31,5.64
Punjab,Rice,402.7,34.7,Peaty,81.6,7.74,4.81
Andhra Pradesh,Rice,1035.2,19.4,Peaty,107.6,2.3,5.72
Tamil Nadu,Maize,1430.0,34.1,Clay,192.1,5.87,5.11
Andhra Pradesh,Maize,1247.4,20.9,Loamy,101.3,5.55,5.5
Bihar,Maize,835.7,26.0,Clay,108.6,1.34,5.38
Bihar,Cotton,902.2,23.5,Silt,82.3,2.84,4.13
Uttar Pradesh,Rice,1121.9,24.3,Clay,165.8,3.17,5.71
Andhra Pradesh,Pulses,1180.5,30.0,Peaty,20.0,5.63,3.98
Maharashtra,Soybean,,33.5,Loamy,102.3,3.77,4.1
Punjab,Soybean,908.5,32.0,Loamy,118.2,4.33,4.62
Punjab,Rice,975.2,24.0,Clay,93.6,1.58,5.39
Rajasthan,Sugarcane,1038.5,26.9,Silt,154.5,9.15,6.81
Uttar Pradesh,Soybean,866.7,22.1,Silt,168.1,4.64,4.8
Karnataka,Rice,870.0,21.0,Clay,63.5,5.5,5.28
Uttar Pradesh,Soybean,1245.0,20.3,Silt,203.7,3.42,4.65
Karnataka,Maize,1202.4,23.8,Silt,63.1,3.19,5.33
West Bengal,Soybean,1019.4,27.2,Sandy,171.5,8.33,4.58
Punjab,Cotton,1329.8,16.4,Sandy,126.0,0.67,3.14
Tamil Nadu,Soybean,803.4,25.8,Loamy,99.9,5.06,5.53
Uttar Pradesh,Rice,1305.7,33.6,Clay,103.6,2.08,4.84
Tamil Nadu,Maize,1035.6,31.6,Sandy,118.7,3.69,4.96
Uttar Pradesh,Rice,1717.8,23.1,Loamy,128.3,3.22,6.02
Punjab,Rice,601.9,19.0,Sandy,83.2,2.53,5.18
Andhra Pradesh,Maize,727.7,28.3,Loamy,110.6,4.57,4.87
Maharashtra,Maize,1004.7,14.4,Silt,89.2,0.5,4.74
Bihar,Wheat,999.3,,Loamy,71.4,3.87,4.81
Uttar Pradesh,Sugarcane,1387.5,24.9,Loamy,87.3,4.32,8.03
Gujarat,Cotton,732.9,35.2,Silt,74.0,1.78,3.1
Gujarat,Soybean,1126.2,17.4,Clay,103.2,7.53,4.38
Gujarat,Sugarcane,1190.6,30.6,Clay,137.3,3.31,6.68
Rajasthan,Rice,1076.2,25.5,,124.8,4.03,5.87
Punjab,Wheat,659.8,24.3,Clay,199.0,3.32,5.22
West Bengal,Maize,1251.9,19.2,Silt,31.6,4.34,4.98
Maharashtra,Cotton,1207.3,29.0,Silt,138.8,7.12,4.27
Gujarat,Rice,1049.9,29.4,Clay,120.3,9.45,6.49
Andhra Pradesh,Soybean,951.1,34.9,Silt,152.6,5.99,3.55
Andhra Pradesh,Sugarcane,956.5,31.0,Silt,148.7,6.68,6.61
Karnataka,Soybean,880.3,23.0,Sandy,113.4,7.93,4.45
West Bengal,Wheat,1060.2,21.0,Sandy,126.9,5.0,4.45
Punjab,Soybean,907.8,19.2,Peaty,90.2,7.64,4.6
Uttar Pradesh,Rice,687.9,33.4,Sandy,144.5,6.08,5.36
Bihar,Cotton,637.9,22.1,Clay,44.8,4.79,3.8
Andhra Pradesh,Cotton,712.0,33.4,Sandy,151.1,5.2,2.96
Uttar Pradesh,Soybean,955.5,28.6,Peaty,119.1,0.86,4.4
Bihar,Rice,893.3,27.6,Silt,100.5,5.08,6.04
Andhra Pradesh,Rice,953.8,24.5,Loamy,110.7,1.41,5.7
Maharashtra,Maize,1025.2,29.3,Sandy,113.6,1.25,4.77
West Bengal,Maize,743.2,25.9,Silt,171.9,4.89,5.5
Rajasthan,Rice,1266.4,24.2,Clay,,2.27,5.66
Andhra Pradesh,Rice,833.1,29.5,Peaty,168.8,4.49,6.69
Uttar Pradesh,Rice,791.6,,Peaty,97.4,4.78,6.65
Uttar Pradesh,Cotton,1020.6,22.0,Peaty,145.2,4.87,4.35
Uttar Pradesh,Maize,440.9,29.0,Loamy,146.9,2.69,4.79
West Bengal,Maize,702.4,25.7,Sandy,83.0,6.3,5.02
Gujarat,Soybean,1145.3,28.4,Sandy,69.6,4.32,3.71
West Bengal,Rice,465.6,23.7,Silt,117.5,5.38,6.11
Karnataka,Pulses,1179.4,20.0,Peaty,152.3,2.11,3.99
Uttar Pradesh,Soybean,1277.8,34.7,Clay,,4.14,4.52
Punjab,Rice,807.6,33.7,Sandy,91.2,6.69,4.52
Tamil Nadu,Maize,973.0,30.4,Silt,142.9,6.44,5.35
Rajasthan,Rice,1179.8,24.1,Silt,121.7,2.91,6.48
Rajasthan,Rice,783.3,24.5,Silt,176.7,3.41,5.72
Rajasthan,Maize,1116.9,32.9,Clay,63.5,2.52,4.9
Tamil Nadu,Wheat,732.2,24.2,Peaty,214.1,3.19,5.59
Tamil Nadu,Wheat,780.6,22.8,Loamy,58.5,1.7,4.69
Bihar,Cotton,700.2,35.4,Sandy,38.8,4.22,1.92
Uttar Pradesh,Sugarcane,985.7,25.8,Silt,117.6,5.77,6.49
Punjab,Maize,1189.5,34.8,Loamy,74.6,2.93,5.1
Karnataka,Pulses,854.0,19.0,Sandy,118.4,4.32,3.37
Punjab,Maize,582.2,28.6,Sandy,117.1,4.06,4.99
West Bengal,Pulses,629.3,36.4,Silt,112.2,6.61,2.58
Uttar Pradesh,Rice,998.6,26.1,Loamy,86.3,3.28,5.75
Uttar Pradesh,Cotton,1361.0,24.7,Clay,137.3,3.35,3.84
Maharashtra,Soybean,998.4,20.2,Clay,107.3,2.81,5.43
Tamil Nadu,Wheat,803.3,31.4,Silt,,2.22,4.59
Karnataka,Pulses,1091.5,22.1,Clay,112.8,5.56,4.34
Rajasthan,Maize,840.1,25.5,Sandy,81.4,4.23,5.0
Rajasthan,Cotton,805.4,19.8,Silt,52.5,4.61,3.25
Gujarat,Sugarcane,660.4,33.8,Silt,113.1,7.05,5.77
Gujarat,Sugarcane,1252.1,31.8,Loamy,69.2,7.16,7.77
Andhra Pradesh,Wheat,,25.8,Peaty,66.0,1.21,4.58
Bihar,Pulses,1099.5,20.2,Loamy,141.1,5.8,4.25
Maharashtra,Sugarcane,784.1,33.7,Loamy,48.9,4.95,5.83
Maharashtra,Pulses,797.4,24.2,Loamy,176.5,3.58,4.18
Bihar,Cotton,1323.1,20.5,Clay,126.4,5.16,4.45
Maharashtra,Sugarcane,721.5,17.2,Peaty,118.2,1.05,6.74
Rajasthan,Cotton,730.0,22.8,Clay,78.6,7.43,4.21
Gujarat,Pulses,867.4,18.7,Silt,150.6,5.53,3.33
Karnataka,Soybean,1003.5,22.9,Sandy,119.9,2.77,4.12
Karnataka,Pulses,789.5,29.7,Loamy,92.6,3.33,4.08
Punjab,Cotton,506.5,24.1,Sandy,128.0,1.09,2.72
Karnataka,Soybean,683.6,27.8,Loamy,52.7,3.87,4.72
Tamil Nadu,Maize,1220.3,22.4,Sandy,54.6,3.53,5.44
Karnataka,Cotton,918.7,26.3,Sandy,,1.85,3.55
Maharashtra,Soybean,1012.8,35.6,Sandy,134.0,6.05,3.07
Karnataka,Wheat,834.6,24.3,Clay,,7.05,5.08
Bihar,Sugarcane,735.1,27.9,Silt,162.0,4.45,6.1
Rajasthan,Wheat,1319.4,18.2,Sandy,83.2,3.89,4.36
Gujarat,Sugarcane,853.0,,Clay,143.0,5.37,6.38
Gujarat,Cotton,789.2,23.6,,115.4,4.46,3.41
Tamil Nadu,Cotton,1174.0,31.3,Loamy,82.3,2.34,4.89
West Bengal,Cotton,719.4,25.4,Peaty,135.4,3.19,4.59
Rajasthan,Cotton,751.3,29.1,Silt,117.4,3.91,3.28
West Bengal,Maize,902.6,29.4,Clay,94.8,5.0,4.73
Uttar Pradesh,Cotton,900.1,23.7,Silt,121.7,4.52,3.89
Maharashtra,Cotton,964.9,31.5,Silt,114.8,4.92,4.46
Tamil Nadu,Soybean,1422.9,22.2,Silt,113.9,1.45,5.0
Karnataka,Cotton,984.1,29.9,Loamy,103.5,5.83,5.12
Maharashtra,Sugarcane,305.5,24.0,Peaty,67.8,4.51,6.54
Punjab,Soybean,981.6,27.7,Peaty,123.0,9.61,5.2
West Bengal,Pulses,909.5,23.7,Peaty,87.9,3.72,3.78
Uttar Pradesh,Wheat,910.9,26.2,Peaty,79.2,5.15,5.43
Maharashtra,Sugarcane,961.5,,Peaty,110.4,10.16,7.28
Rajasthan,Rice,892.8,27.2,Silt,149.4,4.89,5.88
Gujarat,Rice,886.8,26.2,Loamy,127.4,4.36,6.89
Uttar Pradesh,Soybean,1053.3,23.3,Sandy,98.8,2.53,4.09
Punjab,Wheat,764.5,25.7,Clay,97.1,7.56,5.66
Punjab,Soybean,663.1,26.7,Clay,145.4,2.18,3.79
Tamil Nadu,Soybean,1655.9,22.9,Peaty,24.1,5.35,6.23
Rajasthan,Pulses,721.0,25.4,Peaty,151.9,3.55,4.04
Andhra Pradesh,Sugarcane,925.0,21.0,Sandy,45.0,4.12,6.33
Gujarat,Pulses,526.1,37.7,Silt,63.4,1.65,2.02
Bihar,Wheat,929.1,31.3,Loamy,99.4,7.19,5.05
Tamil Nadu,Pulses,666.7,27.4,Clay,206.8,3.94,4.25
Andhra Pradesh,Rice,789.4,31.9,Peaty,187.1,2.07,5.85
Gujarat,Maize,1161.3,16.1,Sandy,148.3,7.01,4.44
Punjab,Wheat,1018.0,13.2,Sandy,134.3,3.49,3.05
Rajasthan,Maize,1042.1,24.0,Sandy,45.5,5.17,5.03
Punjab,Soybean,457.2,19.1,Clay,126.3,6.18,4.12
Uttar Pradesh,Rice,1359.2,,Peaty,,5.45,7.15
West Bengal,Soybean,602.0,27.0,Silt,87.3,0.5,4.07
Bihar,Sugarcane,1282.1,30.6,Silt,126.2,5.89,6.94
West Bengal,Sugarcane,1155.4,20.3,Clay,101.2,4.3,7.1
Rajasthan,Pulses,1044.3,28.0,Silt,154.8,3.84,3.36
Rajasthan,Cotton,686.3,26.1,Peaty,42.6,4.28,3.92
Andhra Pradesh,Maize,937.9,27.7,Silt,123.0,1.28,5.18
Rajasthan,Pulses,782.3,23.4,Sandy,84.8,4.88,3.88
Tamil Nadu,Cotton,907.3,32.9,Clay,103.6,1.77,3.51
Punjab,Sugarcane,837.5,25.5,,132.2,3.93,6.88
Andhra Pradesh,Maize,390.3,34.9,Clay,75.3,4.81,4.39
Punjab,Rice,,22.0,Silt,126.6,6.65,6.09
West Bengal,Rice,879.7,29.7,Loamy,111.5,2.86,5.9
Tamil Nadu,Rice,778.8,25.7,Loamy,93.6,7.4,6.54
Bihar,Rice,759.9,24.4,Silt,101.2,6.39,5.77
West Bengal,Soybean,989.6,29.2,Clay,113.8,3.64,5.11
West Bengal,Wheat,676.6,24.5,Sandy,89.3,2.28,3.81
Bihar,Sugarcane,336.2,12.7,Sandy,120.3,1.61,4.29
Uttar Pradesh,Pulses,1001.8,10.7,Sandy,108.9,5.04,1.97
Maharashtra,Soybean,1029.8,32.4,Silt,95.5,3.03,3.93
Punjab,Maize,850.1,32.2,Clay,183.6,6.9,5.06
Maharashtra,Wheat,613.0,35.4,Silt,136.6,3.14,3.6
Tamil Nadu,Soybean,922.2,25.9,Clay,104.7,2.7,4.86
West Bengal,Wheat,533.9,19.5,Clay,125.8,4.97,4.42
Tamil Nadu,Sugarcane,643.2,23.9,Sandy,78.9,3.13,5.65
West Bengal,Sugarcane,712.3,26.1,Peaty,102.5,4.52,7.35
West Bengal,Rice,1111.0,21.0,Clay,107.2,6.47,6.32
Andhra Pradesh,Soybean,809.3,34.2,Sandy,70.1,4.73,3.58
Gujarat,Rice,788.0,37.2,Loamy,135.5,4.74,5.08
Tamil Nadu,Rice,1388.7,28.4,Loamy,99.8,4.91,7.4
Punjab,Soybean,988.1,25.9,Silt,105.8,1.11,4.72
Andhra Pradesh,Pulses,984.7,19.5,Silt,97.3,5.28,3.58
Andhra Pradesh,Rice,807.6,33.7,Clay,238.4,4.82,5.54
Punjab,Pulses,750.9,26.4,Silt,93.5,6.29,3.79
Rajasthan,Pulses,353.4,24.6,,37.3,5.71,3.39
Bihar,Soybean,1142.2,28.4,Clay,56.0,4.1,4.16
Bihar,Wheat,1012.1,23.1,Sandy,150.4,6.56,4.8
Bihar,Maize,855.2,26.7,Clay,173.5,3.91,5.7
Punjab,Sugarcane,,18.8,Peaty,92.7,4.99,6.7
Andhra Pradesh,Pulses,1084.0,31.4,Sandy,171.2,3.88,3.02
Punjab,Soybean,511.3,25.5,Clay,149.7,5.42,4.0
Maharashtra,Maize,752.5,,Sandy,112.4,3.75,5.13
Maharashtra,Rice,,25.0,Silt,109.6,7.8,6.03
Rajasthan,Pulses,1342.9,25.3,Clay,127.2,8.53,4.51
Punjab,Rice,1118.9,19.9,Peaty,155.1,6.25,6.51
Tamil Nadu,Maize,349.3,29.8,Sandy,135.9,7.58,5.36
Tamil Nadu,Pulses,521.6,,Silt,92.9,1.42,3.48
West Bengal,Cotton,866.9,23.6,Peaty,113.0,1.66,3.24
Tamil Nadu,Rice,781.9,26.0,Sandy,199.3,3.86,6.42
Punjab,Wheat,568.9,26.6,Loamy,130.0,4.58,4.52
Maharashtra,Cotton,1386.2,17.5,Silt,154.8,4.1,4.03
Gujarat,Pulses,,24.8,Loamy,141.6,1.22,3.81
Punjab,Cotton,1018.7,30.0,Sandy,130.9,6.8,3.62
Bihar,Sugarcane,727.0,24.1,Peaty,124.3,8.81,7.39
West Bengal,Rice,1080.6,24.9,Sandy,155.9,7.06,5.21
Uttar Pradesh,Soybean,,26.8,Silt,148.7,6.67,4.7
Bihar,Soybean,829.2,25.4,Sandy,130.6,4.95,4.64
Tamil Nadu,Sugarcane,1052.8,20.8,Clay,92.2,2.81,6.41
Bihar,Soybean,492.8,25.8,Clay,135.4,4.65,3.95
Tamil Nadu,Sugarcane,1299.3,31.0,Sandy,117.3,8.71,6.65
Andhra Pradesh,Maize,945.6,20.7,Loamy,107.7,3.8,5.51
Maharashtra,Soybean,1220.2,24.1,Sandy,227.2,3.59,4.35
Rajasthan,Soybean,631.1,19.1,Sandy,58.4,6.71,3.28
Tamil Nadu,Soybean,669.2,30.7,Peaty,158.3,6.85,4.83
Maharashtra,Rice,609.5,25.5,Loamy,85.5,2.8,6.1
West Bengal,Sugarcane,962.6,21.7,Peaty,125.2,3.98,6.69
Tamil Nadu,Wheat,,26.5,Sandy,222.7,3.5,4.36
Gujarat,Sugarcane,783.9,20.0,Silt,81.5,4.64,6.48
Rajasthan,Cotton,646.5,20.8,Sandy,91.0,6.71,3.23
Tamil Nadu,Maize,583.4,18.7,Clay,119.3,2.89,4.81
Karnataka,Pulses,887.9,20.7,Peaty,86.1,6.68,4.75
Tamil Nadu,Pulses,,32.8,Clay,155.4,4.7,3.49
Uttar Pradesh,Wheat,728.6,22.3,Loamy,98.6,9.15,5.07
Uttar Pradesh,Rice,1286.8,28.3,Silt,146.2,5.14,6.39
Tamil Nadu,Rice,879.4,21.8,Silt,66.8,4.31,5.64
Rajasthan,Pulses,1217.5,29.8,Peaty,47.7,5.65,4.23
Gujarat,Cotton,766.7,20.9,,110.8,3.83,3.66
Tamil Nadu,Soybean,961.2,26.2,Loamy,57.3,0.91,4.79
Karnataka,Soybean,886.1,26.3,Loamy,180.7,4.02,5.08
Punjab,Soybean,475.6,37.6,Sandy,58.8,3.99,2.09
Karnataka,Wheat,1257.1,29.2,Clay,78.5,1.32,5.59
Karnataka,Wheat,866.2,23.0,Peaty,136.5,4.35,5.72
Bihar,Maize,1086.6,29.4,Loamy,96.5,0.5,5.59
West Bengal,Maize,712.0,36.7,Peaty,59.3,3.8,4.08
Bihar,Soybean,858.8,17.9,Clay,201.6,4.99,3.99
Andhra Pradesh,Rice,683.3,21.8,Loamy,79.9,4.69,6.4
West Bengal,Maize,1209.0,24.8,Clay,112.1,3.68,5.78
Punjab,Rice,977.9,23.9,,111.6,4.33,6.17
Maharashtra,Rice,991.8,24.3,Sandy,148.4,2.93,5.44
Tamil Nadu,Rice,1239.5,19.5,Clay,138.5,4.52,5.72
Karnataka,Rice,1189.1,33.0,Sandy,86.9,4.62,5.46
Bihar,Cotton,1091.3,18.9,Sandy,107.0,2.7,3.69
Tamil Nadu,Maize,,25.0,Loamy,110.9,5.04,5.64
Bihar,Cotton,726.1,31.2,Loamy,150.0,5.02,4.19
Punjab,Cotton,649.0,25.8,Loamy,73.3,4.17,4.07
